Date,Confirmed,Recovered,Deaths
1/22/2020,0,0,0
1/23/2020,0,0,0
1/24/2020,0,0,0
1/25/2020,1,0,0
1/26/2020,1,0,0
1/27/2020,1,0,0
1/28/2020,1,0,0
1/29/2020,1,0,0
1/30/2020,1,0,0
1/31/2020,1,0,0
2/1/2020,1,0,0
2/2/2020,1,0,0
2/3/2020,1,0,0
2/4/2020,1,0,0
2/5/2020,1,0,0
2/6/2020,1,0,0
2/7/2020,1,0,0
2/8/2020,1,0,0
2/9/2020,1,0,0
2/10/2020,1,0,0
2/11/2020,1,0,0
2/12/2020,1,1,0
2/13/2020,1,1,0
2/14/2020,1,1,0
2/15/2020,1,1,0
2/16/2020,1,1,0
2/17/2020,1,1,0
2/18/2020,1,1,0
2/19/2020,1,1,0
2/20/2020,1,1,0
2/21/2020,1,1,0
2/22/2020,1,1,0
2/23/2020,1,1,0
2/24/2020,1,1,0
2/25/2020,1,1,0
2/26/2020,1,1,0
2/27/2020,1,1,0
2/28/2020,1,1,0
2/29/2020,1,1,0
3/1/2020,1,1,0
3/2/2020,1,1,0
3/3/2020,1,1,0
3/4/2020,1,1,0
3/5/2020,1,1,0
3/6/2020,1,1,0
3/7/2020,1,1,0
3/8/2020,1,1,0
3/9/2020,1,1,0
3/10/2020,1,1,0
3/11/2020,1,1,0
3/12/2020,1,1,0
3/13/2020,1,1,0
3/14/2020,1,1,0
3/15/2020,1,1,0
3/16/2020,1,1,0
3/17/2020,1,1,0
3/18/2020,1,1,0
3/19/2020,1,1,0
3/20/2020,1,1,0
3/21/2020,1,1,0
3/22/2020,1,1,0
3/23/2020,2,1,0
3/24/2020,2,1,0
3/25/2020,3,1,0
3/26/2020,3,1,0
3/27/2020,4,1,0
3/28/2020,5,1,0
3/29/2020,5,1,0
3/30/2020,5,1,0
3/31/2020,5,1,0
4/1/2020,6,1,0
4/2/2020,6,1,0
4/3/2020,9,1,0
4/4/2020,9,1,0
4/5/2020,9,1,0
4/6/2020,9,1,0
4/7/2020,9,1,0
4/8/2020,9,1,0
4/9/2020,9,1,0
4/10/2020,9,1,0
4/11/2020,9,1,0
4/12/2020,12,1,0
4/13/2020,14,1,0
4/14/2020,16,1,0
4/15/2020,16,1,0
4/16/2020,16,2,0
4/17/2020,30,2,0
4/18/2020,31,2,0
4/19/2020,31,4,0
4/20/2020,31,4,0
4/21/2020,43,4,0
4/22/2020,45,7,0
4/23/2020,48,10,0
4/24/2020,49,11,0
4/25/2020,49,12,0
4/26/2020,52,16,0
4/27/2020,52,16,0
4/28/2020,54,16,0
4/29/2020,57,16,0
4/30/2020,57,16,0
5/1/2020,59,16,0
5/2/2020,59,16,0
5/3/2020,75,16,0
5/4/2020,75,16,0
5/5/2020,82,16,0
5/6/2020,99,22,0
5/7/2020,101,22,0
5/8/2020,102,31,0
5/9/2020,110,31,0
5/10/2020,110,31,0
5/11/2020,134,33,0
5/12/2020,217,33,0
5/13/2020,250,35,0
5/14/2020,249,35,0
5/15/2020,267,36,0
5/16/2020,291,36,1
5/17/2020,295,36,2
5/18/2020,375,36,2
5/19/2020,402,37,2
5/20/2020,427,45,2
5/21/2020,457,49,3
5/22/2020,516,70,3
5/23/2020,584,70,3
5/24/2020,603,87,3
5/25/2020,682,112,4
5/26/2020,772,155,4
5/27/2020,886,183,4
5/28/2020,1042,187,5
5/29/2020,1212,206,6
5/30/2020,1401,219,6
5/31/2020,1572,220,8
6/1/2020,1811,221,8
6/2/2020,2099,266,8
6/3/2020,2300,278,9
6/4/2020,2634,290,10
6/5/2020,2912,333,11
6/6/2020,3235,365,13
6/7/2020,3448,467,13
6/8/2020,3762,488,14
6/9/2020,4086,584,15
6/10/2020,4364,674,15
6/11/2020,4614,861,15
6/12/2020,5062,877,16
6/13/2020,5335,913,18
6/14/2020,5760,974,19
6/15/2020,6211,1041,19
6/16/2020,6591,1158,19
6/17/2020,7177,1167,20
6/18/2020,7848,1186,22
6/19/2020,8274,1402,22
6/20/2020,8605,1578,22
6/21/2020,9026,1772,23
6/22/2020,9561,2148,23
6/23/2020,10099,2224,24
6/24/2020,10728,2338,24
6/25/2020,11162,2650,26
6/26/2020,11755,2698,27
6/27/2020,12309,2834,28
6/28/2020,12774,3013,28
6/29/2020,13248,3134,29
6/30/2020,13564,3194,29
7/1/2020,14046,4656,30
7/2/2020,14519,5320,31
7/3/2020,15259,6143,32
7/4/2020,15491,6415,34
7/5/2020,15784,6547,34
7/6/2020,15964,6811,35
7/7/2020,16168,7499,35
7/8/2020,16423,7752,35
7/9/2020,16531,7891,35
7/10/2020,16649,8011,35
7/11/2020,16719,8442,38
7/12/2020,16801,8589,38
7/13/2020,16945,10294,38
7/14/2020,17061,10328,38
7/15/2020,17177,11025,39
7/16/2020,17344,11249,39
7/17/2020,17445,11534,40
7/18/2020,17502,11637,40
7/19/2020,17658,11695,40
7/20/2020,17844,11868,40
7/21/2020,17994,12477,40
7/22/2020,18094,12684,42
7/23/2020,18241,12840,43
7/24/2020,18374,12947,44
7/25/2020,18483,13053,45
7/26/2020,18613,13128,45
7/27/2020,18752,13754,48
7/28/2020,19063,13875,49
7/29/2020,19273,14021,49
7/30/2020,19547,14248,52
7/31/2020,19771,14399,56
8/1/2020,20086,14492,56
8/2/2020,20332,14603,57
8/3/2020,20750,14961,57
8/4/2020,21009,15026,58
8/5/2020,21390,15156,60
8/6/2020,21750,15389,65
8/7/2020,22214,15814,70
8/8/2020,22592,16313,73
8/9/2020,22972,16353,75
8/10/2020,23310,16493,79
8/11/2020,23948,16664,83
8/12/2020,24432,16728,91
8/13/2020,24957,16837,95
8/14/2020,25551,17077,99
8/15/2020,26019,17201,102
8/16/2020,26660,17335,104
8/17/2020,27241,17495,107
8/18/2020,28257,17580,114
