Date,Total Cases,Active Cases,Recovered Cases,Deaths
5/23/2020,584,511,70,3
5/24/2020,603,513,87,3
5/25/2020,682,566,112,4
5/26/2020,772,613,155,4
5/27/2020,886,699,183,4
5/28/2020,1042,850,187,5
5/29/2020,1212,1000,206,6
5/30/2020,1401,1176,219,6
5/31/2020,1572,1344,220,8
6/1/2020,1811,1582,221,8
6/2/2020,2099,1825,266,8
6/3/2020,2300,2013,278,9
6/4/2020,2634,2334,290,10
6/5/2020,2912,2568,333,11
6/6/2020,3235,2857,365,13
6/7/2020,3448,2968,467,13
6/8/2020,3762,3260,488,14
6/9/2020,4086,3487,584,15
6/10/2020,4364,3675,674,15
6/11/2020,4614,3738,861,15
6/12/2020,5062,4169,877,16
6/13/2020,5335,4404,913,18
6/14/2020,5760,4767,974,19
6/15/2020,6211,5151,1041,19
6/16/2020,6591,5414,1158,19
6/17/2020,7177,5990,1167,20
6/18/2020,7848,6640,1186,22
6/19/2020,8274,6850,1402,22
6/20/2020,8605,7005,1578,22
6/21/2020,9026,7231,1772,23
6/22/2020,9561,7390,2148,23
6/23/2020,10099,7851,2224,24
6/24/2020,10728,8366,2338,24
6/25/2020,11162,8486,2650,26
6/26/2020,11755,9030,2698,27
6/27/2020,12309,9447,2834,28
6/28/2020,12774,9733,3013,28
6/29/2020,13248,10085,3134,29
6/30/2020,13564,10341,3194,29
7/1/2020,14046,9360,4656,30
7/2/2020,14519,9168,5320,31
7/3/2020,15259,9084,6143,32
7/4/2020,15491,9042,6415,34
7/5/2020,15784,9203,6547,34
7/6/2020,15964,9118,6811,35
7/7/2020,16168,8634,7499,35
7/8/2020,16423,8636,7752,35
7/9/2020,16531,8605,7891,35
7/10/2020,16649,8603,8011,35
7/11/2020,16719,8239,8442,38
7/12/2020,16801,8174,8589,38
7/13/2020,16945,6613,10294,38
7/14/2020,17061,6695,10328,38
7/15/2020,17177,6113,11025,39
7/16/2020,17344,6056,11249,39
7/17/2020,17445,5871,11534,40
7/18/2020,17502,5825,11637,40
7/19/2020,17658,5923,11695,40
7/20/2020,17844,5936,11868,40
7/21/2020,17994,5477,12477,40
7/22/2020,18094,5368,12684,42
7/23/2020,18241,5358,12840,43
7/24/2020,18374,5383,12947,44
7/25/2020,18483,5385,13053,45
7/26/2020,18613,5440,13128,45
7/27/2020,18752,4950,13754,48
7/28/2020,19063,5139,13875,49
7/29/2020,19273,5203,14021,49
7/30/2020,19547,5247,14248,52
7/31/2020,19771,5316,14399,56
8/1/2020,20086,5538,14492,56
8/2/2020,20332,5672,14603,57
8/3/2020,20750,5732,14961,57
8/4/2020,21009,5925,15026,58
8/5/2020,21390,6174,15156,60
8/6/2020,21750,6296,15389,65
8/7/2020,22214,6330,15814,70
8/8/2020,22592,6206,16313,73
8/9/2020,22972,6544,16353,75
8/10/2020,23310,6738,16493,79
8/11/2020,23948,7201,16664,83
8/12/2020,24432,7613,16728,91
8/13/2020,24957,8025,16837,95
8/14/2020,25551,8375,17077,99
8/15/2020,26019,8716,17201,102
8/16/2020,26660,9221,17335,104
8/17/2020,27241,9639,17495,107
8/18/2020,28257,10563,17580,114
