,Date,Total Cases,Active Cases,Recovered Cases,Deaths
178,7/18/2020,17502,5825,11637,40
179,7/19/2020,17658,5923,11695,40
180,7/20/2020,17844,5936,11868,40
181,7/21/2020,17994,5477,12477,40
182,7/22/2020,18094,5368,12684,42
183,7/23/2020,18241,5358,12840,43
184,7/24/2020,18374,5383,12947,44
185,7/25/2020,18483,5385,13053,45
186,7/26/2020,18613,5440,13128,45
187,7/27/2020,18752,4950,13754,48
188,7/28/2020,19063,5139,13875,49
189,7/29/2020,19273,5203,14021,49
190,7/30/2020,19547,5247,14248,52
191,7/31/2020,19771,5316,14399,56
192,8/1/2020,20086,5538,14492,56
193,8/2/2020,20332,5672,14603,57
194,8/3/2020,20750,5732,14961,57
195,8/4/2020,21009,5925,15026,58
196,8/5/2020,21390,6174,15156,60
197,8/6/2020,21750,6296,15389,65
198,8/7/2020,22214,6330,15814,70
199,8/8/2020,22592,6206,16313,73
200,8/9/2020,22972,6544,16353,75
201,8/10/2020,23310,6738,16493,79
202,8/11/2020,23948,7201,16664,83
203,8/12/2020,24432,7613,16728,91
204,8/13/2020,24957,8025,16837,95
205,8/14/2020,25551,8375,17077,99
206,8/15/2020,26019,8716,17201,102
207,8/16/2020,26660,9221,17335,104
208,8/17/2020,27241,9639,17495,107
209,8/18/2020,28257,10563,17580,114
